ID	Shift-JIS	Unicode A	Unicode B	UTF-8	Email JIS	Email Shift-JIS	English	Japanese
#001	\x{F659}	U+E481	U+EF59	\x{EEBD99}	\x{753A}	\x{EB59}	exclamation1	！
#002	\x{F65A}	U+E482	U+EF5A	\x{EEBD9A}	\x{753B}	\x{EB5A}	exclamation2	！
#003	\x{F65B}	U+E483	U+EF5B	\x{EEBD9B}	\x{753C}	\x{EB5B}	question1	？
#004	\x{F748}	U+E52C	U+F048	\x{EF8188}	\x{7729}	\x{EC48}	question2	？
#005	\x{F749}	U+E52D	U+F049	\x{EF8189}	\x{772A}	\x{EC49}	lefttri1	左向き三角１
#006	\x{F74A}	U+E52E	U+F04A	\x{EF818A}	\x{772B}	\x{EC4A}	righttri1	右向き三角１
#007	\x{F74B}	U+E52F	U+F04B	\x{EF818B}	\x{772C}	\x{EC4B}	lefttri2	左向き三角２
#008	\x{F74C}	U+E530	U+F04C	\x{EF818C}	\x{772D}	\x{EC4C}	righttri2	右向き三角２
#009	\x{F74D}	U+E531	U+F04D	\x{EF818D}	\x{772E}	\x{EC4D}	littlesquare1	小四角１
#010	\x{F74E}	U+E532	U+F04E	\x{EF818E}	\x{772F}	\x{EC4E}	littlesquare2	小四角２
#011	\x{F74F}	U+E533	U+F04F	\x{EF818F}	\x{7730}	\x{EC4F}	isymbol	インフォメーションシンボル
#012	\x{F69A}	U+E4C1	U+EF9A	\x{EEBE9A}	\x{757A}	\x{EB9A}	wineglass	ワイングラス
#013	\x{F6EA}	U+E511	U+EFEA	\x{EEBFAA}	\x{766C}	\x{EBEA}	speaker	スピーカ
#014	\x{F796}	U+E579	U+F096	\x{EF8296}	\x{7776}	\x{EC96}	dollarsign	ドル
#015	\x{F65E}	U+E486	U+EF5E	\x{EEBD9E}	\x{753F}	\x{EB5E}	moon1	三日月
#016	\x{F65F}	U+E487	U+EF5F	\x{EEBD9F}	\x{7540}	\x{EB5F}	bolt	いなずま
#017	\x{F750}	U+E534	U+F050	\x{EF8190}	\x{7731}	\x{EC50}	medsquare1	中四角１
#018	\x{F751}	U+E535	U+F051	\x{EF8191}	\x{7732}	\x{EC51}	medsquare2	中四角２
#019	\x{F752}	U+E536	U+F052	\x{EF8192}	\x{7733}	\x{EC52}	littlediamond1	小菱形１
#020	\x{F753}	U+E537	U+F053	\x{EF8193}	\x{7734}	\x{EC53}	littlediamond2	小菱形２
#021	\x{F754}	U+E538	U+F054	\x{EF8194}	\x{7735}	\x{EC54}	bigsquare1	大四角１
#022	\x{F755}	U+E539	U+F055	\x{EF8195}	\x{7736}	\x{EC55}	bigsquare2	大四角２
#023	\x{F756}	U+E53A	U+F056	\x{EF8196}	\x{7737}	\x{EC56}	littlecircle1	小丸１
#024	\x{F757}	U+E53B	U+F057	\x{EF8197}	\x{7738}	\x{EC57}	littlecircle2	小丸２
#025	\x{F797}	U+E57A	U+F097	\x{EF8297}	\x{7777}	\x{EC97}	wristwatch	腕時計
#026	\x{F758}	U+E53C	U+F058	\x{EF8198}	\x{7739}	\x{EC58}	plus	プラス
#027	\x{F759}	U+E53D	U+F059	\x{EF8199}	\x{773A}	\x{EC59}	minus	マイナス
#028	\x{F75A}	U+E53E	U+F05A	\x{EF819A}	\x{773B}	\x{EC5A}	star1	星１
#029	\x{F75B}	U+E53F	U+F05B	\x{EF819B}	\x{773C}	\x{EC5B}	uparrow1	上矢印１
#030	\x{F75C}	U+E540	U+F05C	\x{EF819C}	\x{773D}	\x{EC5C}	downarrow1	下矢印１
#031	\x{F75D}	U+E541	U+F05D	\x{EF819D}	\x{773E}	\x{EC5D}	circleslash	丸に斜め線
#032	\x{F75E}	U+E542	U+F05E	\x{EF819E}	\x{773F}	\x{EC5E}	downtri1	下三角１
#033	\x{F75F}	U+E543	U+F05F	\x{EF819F}	\x{7740}	\x{EC5F}	uptri1	上三角１
#034	\x{F760}	U+E544	U+F060	\x{EF81A0}	\x{7741}	\x{EC60}	downtri2	下三角２
#035	\x{F761}	U+E545	U+F061	\x{EF81A1}	\x{7742}	\x{EC61}	uptri2	上三角２
#036	\x{F762}	U+E546	U+F062	\x{EF81A2}	\x{7743}	\x{EC62}	bigdiamond1	大菱形１
#037	\x{F763}	U+E547	U+F063	\x{EF81A3}	\x{7744}	\x{EC63}	bigdiamond2	大菱形２
#038	\x{F764}	U+E548	U+F064	\x{EF81A4}	\x{7745}	\x{EC64}	biggestsquare1	特大四角１
#039	\x{F765}	U+E549	U+F065	\x{EF81A5}	\x{7746}	\x{EC65}	biggestsquare2	特大四角２
#040	\x{F766}	U+E54A	U+F066	\x{EF81A6}	\x{7747}	\x{EC66}	bigcircle1	大丸１
#041	\x{F767}	U+E54B	U+F067	\x{EF81A7}	\x{7748}	\x{EC67}	bigcircle2	大丸２
#042	\x{F768}	U+E54C	U+F068	\x{EF81A8}	\x{7749}	\x{EC68}	uparrow2	上矢印２
#043	\x{F769}	U+E54D	U+F069	\x{EF81A9}	\x{774A}	\x{EC69}	downarrow2	下矢印２
#044	\x{F660}	U+E488	U+EF60	\x{EEBDA0}	\x{7541}	\x{EB60}	sun	太陽
#045	\x{F693}	U+E4BA	U+EF93	\x{EEBE93}	\x{7573}	\x{EB93}	baseball	野球ボール
#046	\x{F7B1}	U+E594	U+F0B1	\x{EF82B1}	\x{7833}	\x{ECB1}	clock	時計
#047	\x{F661}	U+E489	U+EF61	\x{EEBDA1}	\x{7542}	\x{EB61}	moon2	満月(顔付き)
#048	\x{F6EB}	U+E512	U+EFEB	\x{EEBFAB}	\x{766D}	\x{EBEB}	bell	ベル
#049	\x{F77C}	U+E560	U+F07C	\x{EF81BC}	\x{775D}	\x{EC7C}	pushpin	プッシュピン(画鋲)
#050	\x{F6D3}	U+E4FA	U+EFD3	\x{EEBF93}	\x{7655}	\x{EBD3}	smallface	小顔
#051	\x{F7B2}	U+E595	U+F0B2	\x{EF82B2}	\x{7834}	\x{ECB2}	heart	ハート
#052	\x{F69B}	U+E4C2	U+EF9B	\x{EEBE9B}	\x{757B}	\x{EB9B}	martini	マティーニ(カクテルグラス)
#053	\x{F6EC}	U+E513	U+EFEC	\x{EEBFAC}	\x{766E}	\x{EBEC}	bud	四つ葉
#054	\x{F76A}	U+E54E	U+F06A	\x{EF81AA}	\x{774B}	\x{EC6A}	trademark	トレードマーク(TM)
#055	\x{F76B}	U+E54F	U+F06B	\x{EF81AB}	\x{774C}	\x{EC6B}	multiply	かける
#056	\x{F77D}	U+E561	U+F07D	\x{EF81BD}	\x{775E}	\x{EC7D}	document1	文書１
#057	\x{F798}	U+E57B	U+F098	\x{EF8298}	\x{7778}	\x{EC98}	hourglass1	砂時計１
#058	\x{F654}	U+E47C	U+EF54	\x{EEBD94}	\x{7535}	\x{EB54}	hourglass2	砂時計２
#059	\x{F77E}	U+E562	U+F07E	\x{EF81BE}	\x{775F}	\x{EC7E}	floppy1	フロッピーディスク
#060	\x{F662}	U+E48A	U+EF62	\x{EEBDA2}	\x{7543}	\x{EB62}	snowflake	雪の結晶
#061	\x{F76C}	U+E550	U+F06C	\x{EF81AC}	\x{774D}	\x{EC6C}	cross1	バツ１
#062	\x{F76D}	U+E551	U+F06D	\x{EF81AD}	\x{774E}	\x{EC6D}	cross2	バツ２
#063	\x{F76E}	U+E552	U+F06E	\x{EF81AE}	\x{774F}	\x{EC6E}	rightarrow1	右矢印１
#064	\x{F76F}	U+E553	U+F06F	\x{EF81AF}	\x{7750}	\x{EC6F}	leftarrow1	左矢印１
