ordinal	Shift-JIS	JIS	PUA	UTF-8	Color	Japanese	English
#0001	\x{F89F}	J+7541	U+E63E	\x{EE98BE}	Red	晴れ	Fine
#0002	\x{F8A0}	J+7546	U+E63F	\x{EE98BF}	Blue	曇り	Cloudy
#0003	\x{F8A1}	J+7545	U+E640	\x{EE9980}	Blue	雨	Rain
#0004	\x{F8A2}	J+753E	U+E641	\x{EE9981}	Blue	雪	Snow
#0005	\x{F8A3}	J+7540	U+E642	\x{EE9982}	Orange	雷	Thunder
#0006	\x{F8A4}	J+7522	U+E643	\x{EE9983}	Red	台風	Typhoon
#0007	\x{F8A5}	J+7837	U+E644	\x{EE9984}	Blue	霧	Fog
#0008	\x{F8A6}	J+7A3E	U+E645	\x{EE9985}	Blue	小雨	Drizzle
#0009	\x{F8A7}	J+7548	U+E646	\x{EE9986}	Red	牡羊座	Aries
#0010	\x{F8A8}	J+7549	U+E647	\x{EE9987}	Orange	牡牛座	Taurus
#0011	\x{F8A9}	J+754A	U+E648	\x{EE9988}	Lime	双子座	Gemini
#0012	\x{F8AA}	J+754B	U+E649	\x{EE9989}	Blue	蟹座	Cancer
#0013	\x{F8AB}	J+754C	U+E64A	\x{EE998A}	Red	獅子座	Leo
#0014	\x{F8AC}	J+754D	U+E64B	\x{EE998B}	Orange	乙女座	Virgo
#0015	\x{F8AD}	J+754E	U+E64C	\x{EE998C}	Lime	天秤座	Libra
#0016	\x{F8AE}	J+754F	U+E64D	\x{EE998D}	Blue	蠍座	Scorpio
#0017	\x{F8AF}	J+7550	U+E64E	\x{EE998E}	Red	射手座	Sagittarius
#0018	\x{F8B0}	J+7551	U+E64F	\x{EE998F}	Orange	山羊座	Capricorn
#0019	\x{F8B1}	J+7552	U+E650	\x{EE9990}	Lime	水瓶座	Aquarius
#0020	\x{F8B2}	J+7553	U+E651	\x{EE9991}	Blue	魚座	Pisces
#0021	\x{F8B3}	J+7E21	U+E652	\x{EE9992}	Fuchsia	スポーツ	Sports
#0022	\x{F8B4}	J+7573	U+E653	\x{EE9993}	Black	野球	Baseball
#0023	\x{F8B5}	J+7838	U+E654	\x{EE9994}	Blue	ゴルフ	Golf
#0024	\x{F8B6}	J+7570	U+E655	\x{EE9995}	Lime	テニス	Tennis
#0025	\x{F8B7}	J+756F	U+E656	\x{EE9996}	Black	サッカー	Soccer
#0026	\x{F8B8}	J+7960	U+E657	\x{EE9997}	Blue	スキー	Ski
#0027	\x{F8B9}	J+7839	U+E658	\x{EE9998}	Orange	バスケットボール	Basketball
#0028	\x{F8BA}	J+7572	U+E659	\x{EE9999}	Black	モータースポーツ	Motor sports
#0029	\x{F8BB}	J+783A	U+E65A	\x{EE999A}	Fuchsia	ポケットベル	Pager
#0030	\x{F8BC}	J+756E	U+E65B	\x{EE999B}	Lime	電車	Train
#0031	\x{F8BD}	J+786E	U+E65C	\x{EE999C}	Orange	地下鉄	Subway
#0032	\x{F8BE}	J+7569	U+E65D	\x{EE999D}	Blue	新幹線	Bullet train
#0033	\x{F8BF}	J+756A	U+E65E	\x{EE999E}	Black	車(セダン)	Car (sedan)
