ordinal	cell	PUA-sample	PUA-position	PUA_UTF-8	Shift-JIS	title
#001	G.21		U+E001	\x{EE8081}	\x{F941}	男の子
#002	G.22		U+E002	\x{EE8082}	\x{F942}	女の子
#003	G.23		U+E003	\x{EE8083}	\x{F943}	美容
#004	G.24		U+E004	\x{EE8084}	\x{F944}	お父さん
#005	G.25		U+E005	\x{EE8085}	\x{F945}	お母さん
#006	G.26		U+E006	\x{EE8086}	\x{F946}	洋服
#007	G.27		U+E007	\x{EE8087}	\x{F947}	ブーツ
#008	G.28		U+E008	\x{EE8088}	\x{F948}	カメラ
#009	G.29		U+E009	\x{EE8089}	\x{F949}	電話
#010	G.2A		U+E00A	\x{EE808A}	\x{F94A}	携帯電話
#011	G.2B		U+E00B	\x{EE808B}	\x{F94B}	FAX
#012	G.2C		U+E00C	\x{EE808C}	\x{F94C}	パソコン
#013	G.2D		U+E00D	\x{EE808D}	\x{F94D}	パンチ!
#014	G.2E		U+E00E	\x{EE808E}	\x{F94E}	GOOD!
#015	G.2F		U+E00F	\x{EE808F}	\x{F94F}	No.1!
#016	G.30		U+E010	\x{EE8090}	\x{F950}	グー
#017	G.31		U+E011	\x{EE8091}	\x{F951}	チョキ
#018	G.32		U+E012	\x{EE8092}	\x{F952}	パーa
#019	G.33		U+E013	\x{EE8093}	\x{F953}	スキー
#020	G.34		U+E014	\x{EE8094}	\x{F954}	ゴルフ
#021	G.35		U+E015	\x{EE8095}	\x{F955}	テニス
#022	G.36		U+E016	\x{EE8096}	\x{F956}	野球
#023	G.37		U+E017	\x{EE8097}	\x{F957}	サーフィン
#024	G.38		U+E018	\x{EE8098}	\x{F958}	サッカー
#025	G.39		U+E019	\x{EE8099}	\x{F959}	魚
#026	G.3A		U+E01A	\x{EE809A}	\x{F95A}	うま
#027	G.3B		U+E01B	\x{EE809B}	\x{F95B}	車
#028	G.3C		U+E01C	\x{EE809C}	\x{F95C}	ヨット
#029	G.3D		U+E01D	\x{EE809D}	\x{F95D}	飛行機
#030	G.3E		U+E01E	\x{EE809E}	\x{F95E}	電車
#031	G.3F		U+E01F	\x{EE809F}	\x{F95F}	新幹線
