ordinal	Shift-JIS	HTML	Japanese	English	Tag
#0001	\x{F040}	&#61504;	ハート	HEART	<#HEART>
#0002	\x{F041}	&#61505;	時計	CLOCK	<#CLOCK>
#0003	\x{F042}	&#61506;	電話	TELEPHONE	<#TELEPHONE>
#0004	\x{F043}	&#61507;	カップ	CUP	<#CUP>
#0005	\x{F044}	&#61508;	*	STAR	<#STAR>
#0006	\x{F045}	&#61509;	上下	VSEL	<#VSEL>
#0007	\x{F046}	&#61510;	左右	HSEL	<#HSEL>
#0008	\x{F047}	&#61511;	電波	DENPA	<#DENPA>
#0009	\x{F048}	&#61512;	晴れ	FINE	<#FINE>
#0010	\x{F049}	&#61513;	雨	RAIN	<#RAIN>
#0011	\x{F04A}	&#61514;	曇	CLOUD	<#CLOUD>
#0012	\x{F04B}	&#61515;	涙	TEAR	<#TEAR>
#0013	\x{F04C}	&#61516;	笑顔	SMILE	<#SMILE>
#0014	\x{F04D}	&#61517;	口	KISS	<#KISS>
#0015	\x{F04E}	&#61518;	メロディ	MELODY	<#MELODY>
#0016	\x{F04F}	&#61519;	車	CAR	<#CAR>
#0017	\x{F050}	&#61520;	電車	TRAIN	<#TRAIN>
#0018	\x{F051}	&#61521;	飛行機	PLANE	<#PLANE>
#0019	\x{F052}	&#61522;	バイク	BIKE	<#BIKE>
#0020	\x{F053}	&#61523;	家	HOME	<#HOME>
#0021	\x{F054}	&#61524;	ビル	BUIL	<#BUIL>
#0022	\x{F055}	&#61525;	ピース	PEACE	<#PEACE>
#0023	\x{F056}	&#61526;	ディナー	DINNER	<#DINNER>
#0024	\x{F057}	&#61527;	グラス	GLASS	<#GLASS>
#0025	\x{F058}	&#61528;	泣く	CRY	<#CRY>
#0026	\x{F059}	&#61529;	チューリップ	TULIP	<#TULIP>
#0027	\x{F05A}	&#61530;	野球	BASEBALL	<#BASEBALL>
#0028	\x{F05B}	&#61531;	ボール	BALL	<#BALL>
#0029	\x{F05C}	&#61532;	パンチ	PUNCH	<#PUNCH>
#0030	\x{F05D}	&#61533;	雷	THUNDER	<#THUNDER>
#0031	\x{F05E}	&#61534;	怒った顔	ANGRY	<#ANGRY>
#0032	\x{F05F}	&#61535;	ビール	BEER	<#BEER>
#0033	\x{F060}	&#61536;	ノート	NOTE	<#NOTE>
#0034	\x{F061}	&#61537;	ペン	PEN	<#PEN>
#0035	\x{F062}	&#61538;	ドクロ	DOKURO	<#DOKURO>
#0036	\x{F063}	&#61539;	メール	MAIL	<#MAIL>
#0037	\x{F064}	&#61540;	禁煙	NOSMOKING	<#NOSMOKING>
#0038	\x{F065}	&#61541;	ベル	BELL	<#BELL>
#0039	\x{F066}	&#61542;	花	FLOWER	<#FLOWER>
#0040	\x{F067}	&#61543;	温泉	SPA	<#SPA>
#0041	\x{F068}	&#61544;	月	MOON	<#MOON>
#0042	\x{F069}	&#61545;	旗	FLAG	<#FLAG>
#0043	\x{F06A}	&#61546;	マスク	MASK	<#MASK>
#0044	\x{F06B}	&#61547;	レコード	RECORD	<#RECORD>
#0045	\x{F06C}	&#61548;	肉	MEAT	<#MEAT>
#0046	\x{F06D}	&#61549;	犬	DOG	<#DOG>
#0047	\x{F06E}	&#61550;	猫	CAT	<#CAT>
#0048	\x{F06F}	&#61551;	猿	MONKEY	<#MONKEY>
#0049	\x{F070}	&#61552;	象	ELEPHANT	<#ELEPHANT>
#0050	\x{F071}	&#61553;	たこ	TAKO	<#TAKO>
#0051	\x{F072}	&#61554;	ヌードル	NOODLE	<#NOODLE>
#0052	\x{F073}	&#61555;	マイク	MIC	<#MIC>
#0053	\x{F074}	&#61556;	むかっ(怒り)	PIKI	<#PIKI>
#0054	\x{F075}	&#61557;	ひよこ	PIYOPIYO	<#PIYOPIYO>
#0055	\x{F076}	&#61558;	眠り顔	SLEEP	<#SLEEP>
#0056	\x{F077}	&#61559;	コーヒー	COFFEE	<#COFFEE>
#0057	\x{F078}	&#61560;	タバコ	TABACCO	<#TABACCO>
#0058	\x{F079}	&#61561;	汗	AUAU	<#AUAU>
#0059	\x{F07A}	&#61562;	おにぎり	ONIGIRI	<#ONIGIRI>
#0060	\x{F07B}	&#61563;	カバン	BAG	<#BAG>
#0061	\x{F07C}	&#61564;	うんち	UNCHI	<#UNCHI>
#0062	\x{F07D}	&#61565;	ネクタイ	TIE	<#TIE>
#0063	\x{F07E}	&#61566;	シャツ	SHIRT	<#SHIRT>
#0064	\x{F080}	&#61568;	すいか	SUIKA	<#SUIKA>
#0065	\x{F081}	&#61569;	カキ氷	ICE	<#ICE>
#0066	\x{F082}	&#61570;	ビキニ	BIKINI	<#BIKINI>
#0067	\x{F083}	&#61571;	はさみ	HASAMI	<#HASAMI>
#0068	\x{F084}	&#61572;	注射	CHUSHA	<#CHUSHA>
#0069	\x{F085}	&#61573;	船	MARINE	<#MARINE>
#0070	\x{F086}	&#61574;	かえる	FROG	<#FROG>
#0071	\x{F087}	&#61575;	バイバイ	BYEBYE	<#BYEBYE>
#0072	\x{F088}	&#61576;	失恋	BHEART	<#BHEART>
#0073	\x{F089}	&#61577;	ダイヤ	DIA	<#DIA>
#0074	\x{F08A}	&#61578;	クローバー	CLUBS	<#CLUBS>
#0075	\x{F08B}	&#61579;	スペード	SPADE	<#SPADE>
#0076	\x{F08C}	&#61580;	クリップ	CLIP	<#CLIP>
#0077	\x{F08D}	&#61581;	雪だるま	SNOWMAN	<#SNOWMAN>
#0078	\x{F08E}	&#61582;	ケーキ	CAKE	<#CAKE>
#0079	\x{F08F}	&#61583;	りんご	APPLE	<#APPLE>
#0080	\x{F090}	&#61584;	プレゼント	PRESENT	<#PRESENT>
#0081	\x{F091}	&#61585;	お金	MONEY	<#MONEY>
#0082	\x{F092}	&#61586;	出口	EXIT	<#EXIT>
#0083	\x{F093}	&#61587;	入り口	DOOR	<#DOOR>
#0084	\x{F094}	&#61588;	おやじ	OYAJI	<#OYAJI>
#0085	\x{F095}	&#61589;	PHS	PHS	<#PHS>
#0086	\x{F096}	&#61590;	星	HOSHI	<#HOSHI>
#0087	\x{F097}	&#61591;	チケット	TICKET	<#TICKET>
#0088	\x{F098}	&#61592;	複数ハート	LOVELOVE	<#LOVELOVE>
#0089	\x{F099}	&#61593;	ひらめき	HIRAMEKI	<#HIRAMEKI>
#0090	\x{F09A}	&#61594;	足跡	PETA	<#PETA>
#0091	\x{F09B}	&#61595;	笑顔	NIKONIKO	<#NIKONIKO>
#0092	\x{F09C}	&#61596;	テニス	TENNIS	<#TENNIS>
#0093	\x{F09D}	&#61597;	映画	MOVIE	<#MOVIE>
#0094	\x{F09E}	&#61598;	スキー	SKI	<#SKI>
#0095	\x{F09F}	&#61599;	!!	!!	<#!!>
#0096	\x{F0A0}	&#61600;	!?	!?	<#!?>
#0097	\x{F0A1}	&#61601;	?	?	<#?>
#0098	\x{F0A2}	&#61602;	下降	DOWN	<#DOWN>
#0099	\x{F0A3}	&#61603;	上昇	UP	<#UP>
#0100	\x{F0A4}	&#61604;	グッド	GOOD	<#GOOD>
#0101	\x{F0A5}	&#61605;	力こぶ	MORIMORI	<#MORIMORI>
#0102	\x{F0A6}	&#61606;	キューピット	CHEART	<#CHEART>
#0103	\x{F0A7}	&#61607;	うずまき	UZUMAKI	<#UZUMAKI>
#0104	\x{F0A8}	&#61608;	台風	TYPHOON	<#TYPHOON>
#0105	\x{F0A9}	&#61609;	海	SEA	<#SEA>
#0106	\x{F0AA}	&#61610;	サーフィン	SURF	<#SURF>
#0107	\x{F0AB}	&#61611;	山	YAMA	<#YAMA>
#0108	\x{F0AC}	&#61612;	富士山	FUJI	<#FUJI>
#0109	\x{F0AD}	&#61613;	キャンプ	CAMP	<#CAMP>
#0110	\x{F0AE}	&#61614;	落ち葉	OCHIBA	<#OCHIBA>
#0111	\x{F0AF}	&#61615;	バス	BUS	<#BUS>
#0112	\x{F0B0}	&#61616;	サッカー	SOCCER	<#SOCCER>
#0113	\x{F0B1}	&#61617;	初心者	BEGINNER	<#BEGINNER>
#0114	\x{F0B2}	&#61618;	巻き戻し	REW	<#REW>
#0115	\x{F0B3}	&#61619;	早送り	FF	<#FF>
#0116	\x{F0B4}	&#61620;	重要	INPORTANT	<#INPORTANT>
#0117	\x{F0B5}	&#61621;	18禁	18KIN	<#18KIN>
#0118	\x{F0B6}	&#61622;	注意	CAUTION	<#CAUTION>
#0119	\x{F0B7}	&#61623;	リサイクル	RECICLE	<#RECICLE>
#0120	\x{F0B8}	&#61624;	電界強度	BARI3	<#BARI3>
#0121	\x{F0B9}	&#61625;	電波	DEMPA	<#DEMPA>
#0122	\x{F0BA}	&#61626;	バツ	PEKE	<#PEKE>
#0123	\x{F0BB}	&#61627;	コピーライト	COPY	<#COPY>
#0124	\x{F0BC}	&#61628;	レジスタードトレードマーク	REG	<#REG>
#0125	\x{F0BD}	&#61629;	スリーセブン	777	<#777>
#0126	\x{F0BE}	&#61630;	0	0	<#0>
#0127	\x{F0BF}	&#61631;	1	1	<#1>
#0128	\x{F0C0}	&#61632;	2	2	<#2>
#0129	\x{F0C1}	&#61633;	3	3	<#3>
#0130	\x{F0C2}	&#61634;	4	4	<#4>
#0131	\x{F0C3}	&#61635;	5	5	<#5>
#0132	\x{F0C4}	&#61636;	6	6	<#6>
#0133	\x{F0C5}	&#61637;	7	7	<#7>
#0134	\x{F0C6}	&#61638;	8	8	<#8>
#0135	\x{F0C7}	&#61639;	9	9	<#9>
#0136	\x{F0C8}	&#61640;	牡羊座	ARIES	<#ARIES>
#0137	\x{F0C9}	&#61641;	牡牛座	TAURUS	<#TAURUS>
#0138	\x{F0CA}	&#61642;	双子座	GEMINI	<#GEMINI>
#0139	\x{F0CB}	&#61643;	蟹座	CANCER	<#CANCER>
#0140	\x{F0CC}	&#61644;	獅子座	LEO	<#LEO>
#0141	\x{F0CD}	&#61645;	乙女座	VIRGO	<#VIRGO>
#0142	\x{F0CE}	&#61646;	天秤座	LIBLA	<#LIBLA>
#0143	\x{F0CF}	&#61647;	蠍座	SCORPIO	<#SCORPIO>
#0144	\x{F0D0}	&#61648;	へびつかい座	OPHIUCHUS	<#OPHIUCHUS>
#0145	\x{F0D1}	&#61649;	射手座	SAGITTA	<#SAGITTA>
#0146	\x{F0D2}	&#61650;	山羊座	CAPRICO	<#CAPRICO>
#0147	\x{F0D3}	&#61651;	水瓶座	AQUARIUS	<#AQUARIUS>
#0148	\x{F0D4}	&#61652;	魚座	PISCES	<#PISCES>
#0149	\x{F0D5}	&#61653;	地蔵	JIZOU	<#JIZOU>
